Posted On,BHK,Rent,Size,Floor,City,Furnishing Status,Tenant Preferred,Bathroom
2022-06-08,3,160000,1100,8 out of 10,Mumbai,Semi-Furnished,Bachelors/Family,3
2022-06-23,2,95000,850,15 out of 25,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-06-19,1,9500,400,3 out of 4,Hyderabad,Unfurnished,Bachelors,1
2022-05-20,1,6500,200,4 out of 4,Bangalore,Semi-Furnished,Bachelors,1
2022-07-06,3,9000,1100,1 out of 4,Hyderabad,Semi-Furnished,Bachelors/Family,1
2022-07-06,3,25000,1600,2 out of 5,Hyderabad,Furnished,Bachelors/Family,3
2022-05-12,1,10000,850,Ground out of 1,Chennai,Unfurnished,Bachelors/Family,1
2022-07-05,2,12000,939,3 out of 4,Chennai,Semi-Furnished,Bachelors/Family,2
2022-05-31,1,35000,430,15 out of 23,Mumbai,Furnished,Bachelors/Family,1
2022-05-18,4,100000,3700,18 out of 22,Bangalore,Semi-Furnished,Bachelors/Family,5
2022-06-17,3,25000,1300,Ground out of 5,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-06-25,3,25000,1280,1 out of 1,Chennai,Semi-Furnished,Bachelors/Family,2
2022-05-23,1,80000,560,1 out of 7,Mumbai,Furnished,Bachelors/Family,1
2022-04-29,2,11000,1100,Ground out of 2,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-04-28,1,3300,175,Ground out of 2,Kolkata,Unfurnished,Bachelors/Family,1
2022-06-05,3,24000,1600,3 out of 5,Hyderabad,Semi-Furnished,Bachelors/Family,3
2022-06-21,1,5000,250,1 out of 2,Kolkata,Unfurnished,Bachelors,1
2022-07-07,3,36000,1771,10 out of 18,Bangalore,Semi-Furnished,Bachelors/Family,3
2022-06-24,1,6000,2160,1 out of 2,Kolkata,Semi-Furnished,Bachelors,1
2022-05-18,3,24000,1250,2 out of 4,Delhi,Unfurnished,Bachelors,2
2022-05-01,1,14000,650,1 out of 3,Chennai,Furnished,Family,2
2022-05-25,2,40000,1000,3 out of 3,Delhi,Furnished,Bachelors/Family,2
2022-05-18,2,60000,807,14 out of 58,Mumbai,Unfurnished,Bachelors,2
2022-05-19,2,20000,1100,3 out of 4,Bangalore,Furnished,Bachelors,2
2022-07-06,1,22000,450,4 out of 7,Mumbai,Semi-Furnished,Family,2
2022-07-06,2,15000,1068,1 out of 2,Chennai,Semi-Furnished,Family,2
2022-05-10,1,5000,322,1 out of 3,Kolkata,Unfurnished,Bachelors/Family,1
2022-06-10,1,8200,500,1 out of 3,Hyderabad,Unfurnished,Bachelors/Family,1
2022-06-22,2,9750,575,Ground out of 2,Bangalore,Semi-Furnished,Bachelors,2
2022-05-14,1,11000,450,3 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,1
2022-07-05,2,55000,720,8 out of 20,Mumbai,Furnished,Bachelors/Family,2
2022-06-26,3,120000,1400,10 out of 32,Mumbai,Unfurnished,Bachelors/Family,3
2022-05-06,2,9000,720,1 out of 3,Hyderabad,Unfurnished,Bachelors/Family,2
2022-06-20,3,84000,1000,18 out of 21,Mumbai,Furnished,Bachelors/Family,3
2022-06-11,2,24000,84,1 out of 4,Delhi,Semi-Furnished,Bachelors,2
2022-07-06,1,14000,550,1 out of 5,Hyderabad,Unfurnished,Bachelors,1
2022-07-02,3,20000,1100,1 out of 2,Chennai,Unfurnished,Bachelors/Family,2
2022-05-27,1,13000,500,4 out of 5,Bangalore,Furnished,Bachelors/Family,2
2022-06-29,2,18500,1000,3 out of 4,Delhi,Semi-Furnished,Bachelors/Family,2
2022-06-21,3,32000,1200,Ground out of 4,Chennai,Unfurnished,Bachelors,2
2022-07-06,1,20000,550,2 out of 5,Bangalore,Semi-Furnished,Bachelors,1
2022-04-30,1,5500,500,2 out of 3,Hyderabad,Unfurnished,Bachelors,1
2022-06-26,2,8000,1100,Ground out of 3,Kolkata,Unfurnished,Bachelors,1
2022-04-26,3,10000,1000,2 out of 5,Kolkata,Unfurnished,Bachelors,2
2022-05-31,2,15000,610,Ground out of 6,Mumbai,Semi-Furnished,Bachelors,1
2022-05-26,2,95000,1000,10 out of 13,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-05-06,1,8500,550,Ground out of 2,Hyderabad,Unfurnished,Bachelors/Family,1
2022-05-06,3,25000,1350,1 out of 2,Chennai,Semi-Furnished,Bachelors/Family,3
2022-05-11,1,32000,500,4 out of 4,Mumbai,Semi-Furnished,Bachelors,2
2022-07-05,3,20000,1350,Ground out of 1,Chennai,Furnished,Bachelors,3
2022-06-16,3,65000,2000,3 out of 6,Bangalore,Semi-Furnished,Bachelors,3
2022-07-04,1,5000,500,1 out of 2,Bangalore,Unfurnished,Bachelors/Family,1
2022-04-27,3,61000,1550,5 out of 20,Mumbai,Semi-Furnished,Bachelors/Family,3
2022-06-21,3,48000,1798,7 out of 14,Hyderabad,Semi-Furnished,Bachelors/Family,3
2022-06-25,4,180000,2000,4 out of 14,Mumbai,Furnished,Bachelors/Family,5
2022-05-27,1,5500,600,1 out of 2,Bangalore,Unfurnished,Bachelors,1
2022-05-29,3,20000,1400,3 out of 4,Hyderabad,Semi-Furnished,Family,3
2022-05-27,2,8000,600,2 out of 3,Bangalore,Semi-Furnished,Bachelors/Family,1
2022-07-06,3,35000,1460,6 out of 12,Bangalore,Unfurnished,Bachelors,3
2022-06-18,2,12000,700,1 out of 2,Chennai,Unfurnished,Bachelors/Family,2
2022-05-21,1,6000,500,1 out of 3,Hyderabad,Unfurnished,Bachelors,1
2022-05-16,2,16000,650,2 out of 3,Chennai,Semi-Furnished,Bachelors/Family,2
2022-05-23,2,34000,471,9 out of 38,Mumbai,Semi-Furnished,Bachelors,2
2022-07-10,3,40000,1400,3 out of 5,Chennai,Semi-Furnished,Bachelors/Family,3
2022-07-06,2,50000,751,16 out of 20,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-06-26,2,12000,957,1 out of 2,Kolkata,Furnished,Bachelors,2
2022-07-09,2,33000,1000,1 out of 3,Delhi,Unfurnished,Bachelors,2
2022-05-06,1,10500,650,1 out of 3,Hyderabad,Semi-Furnished,Bachelors/Family,1
2022-05-22,3,30000,1250,Ground out of 2,Kolkata,Unfurnished,Bachelors/Family,2
2022-05-21,1,8500,450,Ground out of 1,Chennai,Unfurnished,Bachelors/Family,1
2022-06-26,2,15000,900,Ground out of 2,Kolkata,Unfurnished,Bachelors/Family,2
2022-06-17,2,11000,970,Ground out of 2,Chennai,Semi-Furnished,Bachelors,2
2022-07-04,2,12000,700,Ground out of 4,Delhi,Unfurnished,Bachelors/Family,2
2022-06-04,3,10000,1200,1 out of 3,Chennai,Unfurnished,Bachelors/Family,3
2022-06-06,1,9000,550,2 out of 3,Hyderabad,Semi-Furnished,Bachelors/Family,1
2022-04-30,2,15000,1250,1 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-06-03,2,65000,760,4 out of 7,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-06-02,3,28000,1500,3 out of 5,Hyderabad,Semi-Furnished,Bachelors/Family,3
2022-07-07,2,65000,710,11 out of 14,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-05-27,1,7000,54,3 out of 5,Delhi,Semi-Furnished,Bachelors/Family,1
2022-05-12,2,7000,450,1 out of 2,Chennai,Semi-Furnished,Bachelors/Family,1
2022-06-17,3,47000,2400,1 out of 3,Hyderabad,Furnished,Bachelors/Family,3
2022-06-14,1,11000,100,2 out of 5,Hyderabad,Unfurnished,Bachelors/Family,1
2022-06-22,1,8500,850,Ground out of 1,Kolkata,Unfurnished,Bachelors,2
2022-06-18,3,130000,2792,5 out of 9,Chennai,Furnished,Bachelors/Family,5
2022-07-10,3,15000,1200,2 out of 5,Chennai,Unfurnished,Bachelors/Family,2
2022-06-03,2,8500,780,Ground out of 2,Kolkata,Unfurnished,Bachelors,1
2022-06-04,2,25000,900,Ground out of 1,Bangalore,Unfurnished,Family,2
2022-06-18,2,15000,700,Ground out of 2,Chennai,Furnished,Bachelors/Family,2
2022-06-27,3,32000,1789,8 out of 13,Bangalore,Semi-Furnished,Family,3
2022-06-21,1,7000,450,1 out of 2,Bangalore,Semi-Furnished,Bachelors/Family,1
2022-05-15,2,8000,200,2 out of 2,Bangalore,Furnished,Bachelors/Family,2
2022-04-29,2,15000,1000,1 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-05-10,2,25000,770,8 out of 32,Bangalore,Furnished,Bachelors/Family,2
2022-06-14,2,52000,750,2 out of 9,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-05-06,2,15500,800,2 out of 2,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-06-07,1,14000,640,6 out of 7,Mumbai,Furnished,Bachelors/Family,1
2022-06-08,2,7500,800,Ground out of 2,Kolkata,Unfurnished,Bachelors,1
2022-06-18,2,10000,780,2 out of 3,Chennai,Semi-Furnished,Bachelors/Family,2
2022-06-12,2,57000,800,6 out of 7,Mumbai,Unfurnished,Bachelors/Family,2
2022-05-23,2,16000,1200,1 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-04-28,1,12000,700,Ground out of 2,Chennai,Unfurnished,Bachelors/Family,1
2022-05-23,2,18000,1065,2 out of 5,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-06-28,2,32000,1150,1 out of 4,Delhi,Unfurnished,Bachelors,2
2022-06-07,2,7500,600,3 out of 4,Bangalore,Unfurnished,Bachelors,1
2022-05-27,2,17000,1020,2 out of 5,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-05-10,2,12000,450,4 out of 4,Delhi,Semi-Furnished,Bachelors/Family,2
2022-05-18,1,6500,850,1 out of 3,Kolkata,Unfurnished,Bachelors,1
2022-05-06,2,8000,890,4 out of 4,Mumbai,Unfurnished,Bachelors/Family,2
2022-05-27,1,18000,600,2 out of 4,Bangalore,Furnished,Bachelors/Family,1
2022-04-27,2,9000,600,Ground out of 2,Kolkata,Unfurnished,Bachelors/Family,1
2022-06-04,1,15000,400,3 out of 4,Delhi,Semi-Furnished,Bachelors/Family,1
2022-06-08,3,15000,1500,2 out of 3,Hyderabad,Unfurnished,Bachelors/Family,2
2022-07-08,3,180000,1190,5 out of 12,Mumbai,Semi-Furnished,Bachelors/Family,3
2022-07-09,3,15000,1450,2 out of 5,Hyderabad,Semi-Furnished,Family,3
2022-05-05,2,22000,1000,2 out of 3,Chennai,Semi-Furnished,Family,2
2022-06-16,3,100000,1300,12 out of 24,Mumbai,Semi-Furnished,Family,3
2022-06-02,2,18000,1000,2 out of 3,Hyderabad,Unfurnished,Bachelors/Family,2
2022-07-09,3,26000,1450,4 out of 4,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-05-23,2,35000,1000,2 out of 4,Delhi,Semi-Furnished,Bachelors,2
2022-05-20,3,30000,2000,1 out of 1,Hyderabad,Unfurnished,Bachelors/Family,5
2022-06-23,3,150000,1330,32 out of 59,Mumbai,Semi-Furnished,Family,4
2022-06-30,1,12000,400,2 out of 4,Delhi,Unfurnished,Bachelors/Family,1
2022-06-16,3,72000,1500,2 out of 4,Chennai,Semi-Furnished,Bachelors,3
2022-06-27,1,20000,625,10 out of 12,Mumbai,Semi-Furnished,Bachelors/Family,1
2022-05-27,1,8000,300,Ground out of 3,Bangalore,Unfurnished,Bachelors/Family,1
2022-05-20,2,13000,1350,2 out of 3,Hyderabad,Unfurnished,Bachelors/Family,2
2022-06-29,2,12000,1300,1 out of 2,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-07-06,3,130000,1500,7 out of 12,Mumbai,Unfurnished,Family,3
2022-06-24,1,9000,600,1 out of 4,Delhi,Semi-Furnished,Bachelors,1
2022-05-06,2,9000,800,4 out of 5,Hyderabad,Unfurnished,Bachelors/Family,2
2022-07-07,3,130000,937,16 out of 27,Mumbai,Furnished,Family,2
2022-06-29,3,15000,1070,1 out of 3,Chennai,Unfurnished,Family,2
2022-07-07,2,65000,935,2 out of 4,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-05-14,1,9000,65,3 out of 4,Delhi,Unfurnished,Bachelors/Family,1
2022-06-23,1,13000,300,Ground out of 7,Mumbai,Unfurnished,Bachelors/Family,2
2022-05-14,1,5000,500,Ground out of 3,Kolkata,Semi-Furnished,Bachelors/Family,1
2022-06-04,2,10000,800,2 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-06-25,1,15000,900,1 out of 3,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-05-10,3,50000,806,2 out of 4,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-06-04,4,310000,2600,Upper Basement out of 20,Mumbai,Unfurnished,Family,4
2022-06-08,2,20000,800,2 out of 5,Delhi,Furnished,Bachelors/Family,1
2022-05-17,2,10000,300,Ground out of 4,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-05-06,1,3500,120,Ground out of 3,Kolkata,Unfurnished,Bachelors/Family,1
2022-07-02,2,10500,1000,Ground out of 1,Chennai,Unfurnished,Bachelors/Family,2
2022-06-02,2,14000,1200,Ground out of 3,Chennai,Semi-Furnished,Bachelors/Family,2
2022-06-29,1,6000,450,2 out of 6,Hyderabad,Unfurnished,Bachelors/Family,1
2022-07-09,3,110000,1500,17 out of 42,Mumbai,Unfurnished,Bachelors/Family,4
2022-05-25,2,12500,1000,1 out of 2,Chennai,Semi-Furnished,Bachelors/Family,2
2022-07-09,4,400000,2080,34 out of 46,Mumbai,Semi-Furnished,Bachelors/Family,5
2022-07-01,2,100000,850,4 out of 7,Mumbai,Semi-Furnished,Bachelors,2
2022-06-11,2,12000,985,3 out of 17,Chennai,Unfurnished,Bachelors/Family,2
2022-06-18,1,9000,500,4 out of 4,Hyderabad,Unfurnished,Bachelors/Family,1
2022-06-29,3,20000,1100,2 out of 5,Hyderabad,Semi-Furnished,Bachelors/Family,3
2022-05-05,2,10000,70,1 out of 5,Delhi,Unfurnished,Bachelors/Family,2
2022-06-22,2,30000,700,3 out of 3,Delhi,Semi-Furnished,Bachelors,2
2022-05-23,1,8000,400,2 out of 3,Bangalore,Semi-Furnished,Bachelors/Family,1
2022-05-12,2,12000,647,2 out of 3,Hyderabad,Unfurnished,Bachelors/Family,1
2022-07-04,2,17000,900,4 out of 5,Bangalore,Furnished,Bachelors/Family,2
2022-06-16,3,100000,1080,5 out of 8,Mumbai,Unfurnished,Bachelors/Family,3
2022-04-30,2,8000,600,1 out of 4,Hyderabad,Unfurnished,Bachelors/Family,2
2022-05-26,1,26000,450,4 out of 8,Mumbai,Unfurnished,Bachelors/Family,1
2022-05-25,2,23000,1100,2 out of 3,Chennai,Furnished,Bachelors/Family,2
2022-07-01,2,9500,650,Ground out of 3,Delhi,Unfurnished,Bachelors/Family,2
2022-07-08,2,8500,500,2 out of 3,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-05-26,1,11500,300,1 out of 2,Bangalore,Unfurnished,Bachelors,1
2022-05-19,2,15000,900,4 out of 5,Delhi,Semi-Furnished,Bachelors/Family,2
2022-05-01,2,18000,900,2 out of 2,Chennai,Semi-Furnished,Bachelors/Family,2
2022-06-25,3,35000,1557,1 out of 5,Chennai,Semi-Furnished,Bachelors/Family,3
2022-07-09,3,230000,2750,53 out of 60,Mumbai,Unfurnished,Bachelors/Family,3
2022-06-05,1,22000,270,14 out of 23,Mumbai,Unfurnished,Bachelors/Family,1
2022-05-29,1,12000,450,1 out of 2,Chennai,Unfurnished,Bachelors/Family,1
2022-05-19,3,33000,1075,7 out of 12,Chennai,Semi-Furnished,Family,3
2022-06-04,2,35000,1300,3 out of 5,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-05-19,2,11000,900,2 out of 3,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-06-20,3,30000,1600,2 out of 4,Bangalore,Semi-Furnished,Family,2
2022-05-26,2,10000,1000,2 out of 2,Chennai,Furnished,Bachelors/Family,2
2022-07-06,3,23000,1900,1 out of 2,Hyderabad,Semi-Furnished,Bachelors/Family,3
2022-05-21,2,20000,750,2 out of 3,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-06-19,2,20000,1500,1 out of 3,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-07-06,2,6500,920,Ground out of 27,Hyderabad,Unfurnished,Bachelors/Family,2
2022-05-21,1,10000,750,1 out of 2,Hyderabad,Unfurnished,Bachelors/Family,1
2022-04-30,4,16000,1000,1 out of 3,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-07-07,1,40000,420,5 out of 7,Mumbai,Semi-Furnished,Family,2
2022-07-06,3,300000,2500,47 out of 89,Mumbai,Semi-Furnished,Bachelors,3
2022-06-22,3,17000,1200,Ground out of 2,Chennai,Unfurnished,Bachelors/Family,3
2022-06-24,1,5300,100,3 out of 3,Hyderabad,Semi-Furnished,Bachelors/Family,1
2022-06-06,2,12000,900,Ground out of 1,Bangalore,Unfurnished,Bachelors/Family,2
2022-06-14,3,25000,1800,4 out of 5,Hyderabad,Furnished,Bachelors/Family,3
2022-06-09,2,22000,1230,5 out of 5,Hyderabad,Semi-Furnished,Family,2
2022-07-06,2,16000,1350,3 out of 5,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-07-06,3,45000,985,Lower Basement out of 18,Mumbai,Unfurnished,Family,3
2022-07-04,1,15000,600,3 out of 5,Bangalore,Semi-Furnished,Bachelors/Family,1
2022-05-12,2,11000,1200,2 out of 3,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-05-26,2,13000,582,5 out of 8,Mumbai,Furnished,Family,2
2022-05-14,3,25000,1500,5 out of 10,Delhi,Semi-Furnished,Bachelors/Family,3
2022-05-12,2,8500,1060,2 out of 5,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-07-06,3,60000,2080,2 out of 5,Bangalore,Semi-Furnished,Family,3
2022-05-15,2,13500,900,5 out of 7,Chennai,Semi-Furnished,Bachelors/Family,2
2022-06-04,3,250000,1600,19 out of 25,Mumbai,Semi-Furnished,Bachelors/Family,3
2022-06-15,3,30000,1000,3 out of 4,Delhi,Unfurnished,Bachelors/Family,2
2022-07-07,1,22000,400,3 out of 7,Mumbai,Unfurnished,Bachelors/Family,1
2022-07-06,2,7000,600,Ground out of 2,Kolkata,Unfurnished,Bachelors,1
2022-05-05,3,14500,1107,4 out of 4,Chennai,Semi-Furnished,Bachelors/Family,2
2022-05-31,2,8500,1000,Ground out of 3,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-06-10,2,8500,1000,2 out of 16,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-05-12,2,15000,1200,2 out of 3,Hyderabad,Unfurnished,Bachelors/Family,2
2022-06-14,3,15000,1600,2 out of 4,Hyderabad,Semi-Furnished,Bachelors/Family,3
2022-05-05,1,6000,400,1 out of 3,Bangalore,Unfurnished,Bachelors/Family,1
2022-07-03,2,24000,1200,1 out of 3,Hyderabad,Furnished,Bachelors/Family,2
2022-07-07,2,22000,640,21 out of 21,Mumbai,Semi-Furnished,Family,2
2022-06-27,2,55100,710,10 out of 22,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-06-14,2,8000,1200,1 out of 3,Hyderabad,Unfurnished,Bachelors/Family,2
2022-06-26,2,11000,950,1 out of 2,Chennai,Semi-Furnished,Bachelors/Family,2
2022-05-14,4,150000,1460,11 out of 13,Mumbai,Semi-Furnished,Bachelors/Family,4
2022-06-20,2,32000,640,6 out of 20,Mumbai,Unfurnished,Bachelors/Family,2
2022-05-23,1,48000,500,4 out of 9,Mumbai,Furnished,Bachelors,1
2022-06-10,1,25000,350,2 out of 17,Mumbai,Furnished,Bachelors/Family,1
2022-07-06,2,35000,650,6 out of 7,Mumbai,Unfurnished,Family,2
2022-06-27,3,110000,1200,6 out of 15,Mumbai,Furnished,Bachelors/Family,3
2022-06-16,2,35000,650,5 out of 7,Mumbai,Unfurnished,Family,2
2022-05-22,1,13000,450,1 out of 4,Chennai,Unfurnished,Bachelors,1
2022-05-10,2,45000,900,2 out of 4,Delhi,Furnished,Bachelors/Family,2
2022-05-12,2,14000,800,Ground out of 3,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-07-06,2,8500,720,4 out of 4,Kolkata,Semi-Furnished,Bachelors/Family,2
2022-05-22,2,9000,1055,Ground out of 1,Bangalore,Semi-Furnished,Bachelors,2
2022-05-23,3,24000,1464,2 out of 5,Bangalore,Semi-Furnished,Bachelors/Family,3
2022-07-05,1,7000,650,3 out of 3,Hyderabad,Semi-Furnished,Bachelors/Family,1
2022-07-09,2,75000,777,17 out of 22,Mumbai,Furnished,Bachelors/Family,2
2022-05-14,1,11000,350,2 out of 5,Delhi,Furnished,Bachelors/Family,1
2022-06-29,2,26000,1200,1 out of 3,Chennai,Semi-Furnished,Bachelors,2
2022-06-16,1,32000,478,4 out of 11,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-07-06,3,98000,1233,35 out of 68,Mumbai,Semi-Furnished,Bachelors/Family,4
2022-04-24,2,8000,750,2 out of 4,Kolkata,Semi-Furnished,Bachelors/Family,2
2022-06-22,2,19397,2000,7 out of 10,Chennai,Furnished,Bachelors/Family,2
2022-05-23,2,10000,500,Upper Basement out of 4,Bangalore,Unfurnished,Bachelors/Family,1
2022-07-06,2,16000,2000,Ground out of 3,Hyderabad,Unfurnished,Bachelors/Family,2
2022-05-23,2,14000,1300,2 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-07-01,2,5500,380,1 out of 1,Delhi,Unfurnished,Bachelors/Family,2
2022-05-29,1,11000,750,Ground out of 2,Chennai,Semi-Furnished,Bachelors/Family,1
2022-05-25,2,10000,950,1 out of 3,Chennai,Unfurnished,Bachelors/Family,2
2022-06-20,2,3500,500,4 out of 5,Kolkata,Unfurnished,Bachelors,1
2022-07-08,2,35000,1109,3 out of 3,Chennai,Semi-Furnished,Bachelors/Family,2
2022-05-30,2,20000,1115,2 out of 4,Bangalore,Furnished,Bachelors/Family,2
2022-04-29,2,14000,800,3 out of 5,Delhi,Unfurnished,Bachelors/Family,2
2022-07-08,2,12000,1050,3 out of 4,Hyderabad,Unfurnished,Bachelors/Family,3
2022-05-26,2,20000,630,4 out of 22,Mumbai,Unfurnished,Family,2
2022-05-05,2,16000,1000,4 out of 5,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-05-14,2,40000,750,5 out of 8,Mumbai,Semi-Furnished,Family,2
2022-06-16,3,57000,1325,15 out of 36,Mumbai,Furnished,Bachelors/Family,4
2022-05-12,1,9000,300,2 out of 4,Hyderabad,Furnished,Bachelors/Family,1
2022-06-11,2,10000,700,Ground out of 2,Chennai,Unfurnished,Bachelors/Family,2
2022-05-19,2,17000,1387,Ground out of 4,Bangalore,Semi-Furnished,Bachelors/Family,3
2022-06-25,2,5800,760,1 out of 2,Hyderabad,Unfurnished,Family,2
2022-05-31,5,350000,3250,12 out of 18,Mumbai,Unfurnished,Family,5
2022-06-28,2,10000,2000,1 out of 2,Chennai,Semi-Furnished,Bachelors/Family,2
2022-05-19,2,10000,300,Ground out of 1,Kolkata,Unfurnished,Bachelors,1
2022-06-28,2,45000,785,2 out of 7,Mumbai,Unfurnished,Bachelors,2
2022-06-22,2,75000,694,1 out of 7,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-06-04,2,12000,940,2 out of 5,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-05-12,2,13000,890,1 out of 2,Chennai,Unfurnished,Bachelors,2
2022-05-23,2,12000,500,2 out of 3,Bangalore,Unfurnished,Bachelors/Family,1
2022-07-06,2,30000,1200,3 out of 3,Chennai,Semi-Furnished,Bachelors/Family,2
2022-06-16,1,10000,500,3 out of 4,Delhi,Semi-Furnished,Bachelors/Family,1
2022-06-09,1,5000,540,2 out of 3,Hyderabad,Semi-Furnished,Bachelors/Family,1
2022-07-06,3,150000,2400,2 out of 2,Chennai,Furnished,Bachelors/Family,3
2022-06-23,3,25000,1350,5 out of 14,Bangalore,Semi-Furnished,Bachelors,3
2022-04-28,1,7000,400,2 out of 7,Bangalore,Semi-Furnished,Bachelors,1
2022-07-02,3,12000,1100,1 out of 1,Kolkata,Semi-Furnished,Family,2
2022-06-08,1,12000,600,2 out of 3,Bangalore,Semi-Furnished,Bachelors/Family,1
2022-05-31,2,5000,625,1 out of 3,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-04-29,4,110000,3250,12 out of 17,Hyderabad,Semi-Furnished,Bachelors/Family,5
2022-06-16,1,5000,300,1 out of 3,Delhi,Furnished,Bachelors,1
2022-05-05,1,5000,150,1 out of 2,Kolkata,Unfurnished,Bachelors/Family,1
2022-04-29,2,25000,1350,12 out of 13,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-05-26,2,47000,785,4 out of 7,Mumbai,Furnished,Bachelors/Family,2
2022-04-30,2,8000,600,2 out of 3,Chennai,Unfurnished,Bachelors/Family,2
2022-05-23,4,75000,2000,Ground out of 2,Bangalore,Furnished,Bachelors/Family,3
2022-07-04,1,7000,500,2 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,1
2022-07-07,2,30000,600,2 out of 5,Mumbai,Unfurnished,Bachelors/Family,2
2022-06-15,1,4000,300,Ground out of 4,Kolkata,Unfurnished,Bachelors/Family,1
2022-05-19,1,12500,500,Ground out of 3,Bangalore,Semi-Furnished,Bachelors/Family,1
2022-05-31,2,22000,1100,2 out of 5,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-05-23,2,11000,1200,Ground out of 2,Bangalore,Unfurnished,Bachelors/Family,2
2022-05-16,2,16500,200,2 out of 2,Chennai,Unfurnished,Bachelors/Family,2
2022-07-04,2,12000,68,3 out of 5,Delhi,Unfurnished,Bachelors/Family,1
2022-06-02,2,10000,700,Ground out of 2,Chennai,Unfurnished,Bachelors/Family,2
2022-06-08,5,22500,960,Ground out of 1,Kolkata,Unfurnished,Bachelors/Family,2
2022-07-07,2,28000,600,1 out of 5,Mumbai,Unfurnished,Bachelors/Family,2
2022-06-25,2,22000,800,4 out of 4,Kolkata,Furnished,Bachelors/Family,1
2022-07-06,2,10000,800,2 out of 3,Chennai,Unfurnished,Bachelors/Family,2
2022-05-05,3,30000,250,1 out of 2,Delhi,Semi-Furnished,Bachelors/Family,2
2022-06-25,1,6500,350,1 out of 2,Kolkata,Semi-Furnished,Bachelors/Family,1
2022-05-30,3,34000,120,2 out of 5,Kolkata,Furnished,Bachelors/Family,2
2022-07-02,2,7500,400,Ground out of 1,Kolkata,Unfurnished,Bachelors/Family,1
2022-06-04,2,30000,1650,2 out of 3,Bangalore,Unfurnished,Bachelors/Family,3
2022-06-21,1,20000,310,Ground out of 7,Mumbai,Unfurnished,Bachelors,1
2022-06-04,2,21000,700,Ground out of 2,Kolkata,Semi-Furnished,Bachelors/Family,1
2022-06-14,1,7000,700,Ground out of 2,Chennai,Unfurnished,Bachelors/Family,1
2022-07-09,2,47000,751,3 out of 30,Mumbai,Semi-Furnished,Family,2
2022-06-24,1,4700,850,3 out of 3,Hyderabad,Unfurnished,Bachelors/Family,2
2022-04-27,3,30000,1875,3 out of 3,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-07-06,2,9000,950,2 out of 3,Chennai,Semi-Furnished,Bachelors/Family,2
2022-06-21,2,35000,700,5 out of 7,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-04-30,2,12500,800,5 out of 7,Hyderabad,Unfurnished,Bachelors/Family,2
2022-05-12,2,8000,1100,2 out of 3,Hyderabad,Unfurnished,Bachelors/Family,2
2022-07-06,4,250000,3500,1 out of 4,Chennai,Semi-Furnished,Bachelors/Family,4
2022-05-23,2,12000,1200,Ground out of 5,Bangalore,Unfurnished,Bachelors/Family,2
2022-06-07,2,25000,1145,4 out of 4,Chennai,Semi-Furnished,Bachelors,2
